id,school_id,aole_id,name,display_order,active,appears_in_mapping_dropdowns
00000000-0000-4000-8200-000000000001,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000005,Maths,1,true,true
00000000-0000-4000-8200-000000000002,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000004,English,2,true,true
00000000-0000-4000-8200-000000000003,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000004,French,3,true,true
00000000-0000-4000-8200-000000000004,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000004,German,4,true,true
00000000-0000-4000-8200-000000000005,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000004,Welsh,5,true,true
00000000-0000-4000-8200-000000000006,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000003,Geography,6,true,true
00000000-0000-4000-8200-000000000007,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000003,History,7,true,true
00000000-0000-4000-8200-000000000008,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000002,PE,8,true,true
00000000-0000-4000-8200-000000000009,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000003,Business,9,true,true
00000000-0000-4000-8200-000000000010,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000006,Chemistry,10,true,true
00000000-0000-4000-8200-000000000011,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000006,Biology,11,true,true
00000000-0000-4000-8200-000000000012,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000006,Physics,12,true,true
00000000-0000-4000-8200-000000000013,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000003,Sociology,13,true,true
00000000-0000-4000-8200-000000000014,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000002,RSE,14,true,true
00000000-0000-4000-8200-000000000015,00000000-0000-4000-8000-000000000001,,Skills,15,true,true
00000000-0000-4000-8200-000000000016,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000006,DT,16,true,true
00000000-0000-4000-8200-000000000017,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000006,ICT,17,true,true
00000000-0000-4000-8200-000000000018,00000000-0000-4000-8000-000000000001,,King's Trust,18,true,true
00000000-0000-4000-8200-000000000019,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000002,PSE,19,true,true
00000000-0000-4000-8200-000000000020,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000001,Art,20,true,true
00000000-0000-4000-8200-000000000021,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8300-000000000001,Music,21,true,true
00000000-0000-4000-8200-000000000101,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8300-000000000105,Maths,1,true,true
00000000-0000-4000-8200-000000000102,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8300-000000000104,English,2,true,true
00000000-0000-4000-8200-000000000103,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8300-000000000103,Geography,3,true,true
00000000-0000-4000-8200-000000000104,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8300-000000000106,Science,4,true,true
00000000-0000-4000-8200-000000000105,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8300-000000000101,Art,5,true,true
00000000-0000-4000-8200-000000000106,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8300-000000000106,Technology,6,true,true
