id,school_id,name,display_order,active
00000000-0000-4000-8300-000000000001,00000000-0000-4000-8000-000000000001,Expressive Arts,1,true
00000000-0000-4000-8300-000000000002,00000000-0000-4000-8000-000000000001,Health and Well-being,2,true
00000000-0000-4000-8300-000000000003,00000000-0000-4000-8000-000000000001,Humanities,3,true
00000000-0000-4000-8300-000000000004,00000000-0000-4000-8000-000000000001,"Languages, Literacy and Communication",4,true
00000000-0000-4000-8300-000000000005,00000000-0000-4000-8000-000000000001,Mathematics and Numeracy,5,true
00000000-0000-4000-8300-000000000006,00000000-0000-4000-8000-000000000001,Science and Technology,6,true
00000000-0000-4000-8300-000000000101,00000000-0000-4000-8000-000000000002,Expressive Arts,1,true
00000000-0000-4000-8300-000000000102,00000000-0000-4000-8000-000000000002,Health and Well-being,2,true
00000000-0000-4000-8300-000000000103,00000000-0000-4000-8000-000000000002,Humanities,3,true
00000000-0000-4000-8300-000000000104,00000000-0000-4000-8000-000000000002,"Languages, Literacy and Communication",4,true
00000000-0000-4000-8300-000000000105,00000000-0000-4000-8000-000000000002,Mathematics and Numeracy,5,true
00000000-0000-4000-8300-000000000106,00000000-0000-4000-8000-000000000002,Science and Technology,6,true
